               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.039235,            0.048276,           0.0090129,             0.76688,             0.53693,             0.66133,             0.39527,            0.032026,             0.04115,           0.0075116,            0.007162,            0.007162,            0.007162
                  88,            0.038555,            0.049542,           0.0088295,             0.94503,             0.46373,             0.67396,             0.39949,            0.034627,            0.041357,           0.0069755,            0.007129,            0.007129,            0.007129
                  89,            0.038719,            0.047863,            0.009766,             0.79715,             0.53984,             0.69006,             0.42504,            0.031405,            0.040064,           0.0068442,            0.007096,            0.007096,            0.007096
                  90,            0.037642,            0.047043,            0.009723,             0.73098,             0.53693,             0.69183,             0.40428,            0.033989,            0.041915,           0.0068864,            0.007063,            0.007063,            0.007063
                  91,            0.037358,            0.044738,           0.0095215,             0.73362,             0.52968,             0.65464,             0.36773,            0.034813,            0.042584,           0.0069035,             0.00703,             0.00703,             0.00703
                  92,            0.039787,            0.049005,           0.0086524,             0.79014,              0.5384,              0.6633,             0.38968,            0.032729,             0.04208,           0.0074385,            0.006997,            0.006997,            0.006997
                  93,            0.036853,            0.047117,           0.0092109,             0.95725,             0.43263,             0.55927,             0.31779,            0.035233,            0.046742,           0.0074857,            0.006964,            0.006964,            0.006964
                  94,            0.038107,            0.047767,           0.0092435,             0.67684,             0.53476,             0.66103,             0.38995,            0.033376,            0.042211,            0.007318,            0.006931,            0.006931,            0.006931
                  95,            0.035981,            0.045353,           0.0084921,             0.55395,             0.58368,             0.67167,             0.40768,            0.031365,            0.040925,            0.006607,            0.006898,            0.006898,            0.006898
                  96,            0.038356,            0.046192,           0.0084191,             0.53581,             0.58441,             0.68017,             0.40242,            0.033257,            0.039745,           0.0069304,            0.006865,            0.006865,            0.006865
                  97,            0.036993,            0.046013,           0.0084144,             0.50434,             0.58659,             0.71087,             0.43361,            0.031888,            0.039669,           0.0069962,            0.006832,            0.006832,            0.006832
                  98,            0.038062,            0.047295,           0.0088133,             0.95244,             0.45501,             0.71166,             0.43777,            0.032232,            0.043671,           0.0071391,            0.006799,            0.006799,            0.006799
                  99,             0.03584,            0.040283,           0.0084881,             0.61974,             0.58077,              0.6814,             0.43852,            0.031371,            0.039403,           0.0073376,            0.006766,            0.006766,            0.006766
                 100,            0.037392,             0.04562,           0.0086387,             0.59586,             0.53363,             0.60447,             0.31472,            0.043708,            0.048847,           0.0090084,            0.006733,            0.006733,            0.006733
                 101,            0.037526,            0.047655,           0.0090322,             0.66998,             0.62155,             0.68213,             0.41772,            0.033143,            0.038518,           0.0067912,              0.0067,              0.0067,              0.0067
                 102,            0.039793,            0.044224,            0.007994,             0.47185,             0.58077,             0.64821,             0.37711,            0.033648,            0.038655,           0.0066753,            0.006667,            0.006667,            0.006667
                 103,            0.039344,            0.045276,           0.0084864,             0.45789,             0.55899,             0.64361,             0.39209,            0.033705,            0.037971,           0.0070522,            0.006634,            0.006634,            0.006634
                 104,            0.039135,            0.046563,            0.009096,             0.38415,             0.55089,             0.64127,             0.37912,            0.031695,            0.039744,           0.0068776,            0.006601,            0.006601,            0.006601
                 105,            0.035068,             0.04724,           0.0087507,              0.9629,             0.42427,             0.59628,              0.3616,            0.035095,            0.046912,           0.0073376,            0.006568,            0.006568,            0.006568
                 106,            0.036611,            0.042414,           0.0075983,             0.55598,             0.57322,              0.6955,             0.40938,            0.034074,            0.040534,           0.0067144,            0.006535,            0.006535,            0.006535
                 107,            0.035617,            0.044179,            0.007787,             0.61102,             0.58471,             0.72684,             0.45825,             0.03124,            0.039839,            0.006504,            0.006502,            0.006502,            0.006502
                 108,            0.034402,            0.044899,           0.0081544,             0.50341,             0.56553,             0.64573,             0.38715,            0.035278,            0.043043,           0.0072008,            0.006469,            0.006469,            0.006469
                 109,            0.034326,            0.042764,           0.0081169,             0.40614,             0.53693,             0.63373,             0.37249,             0.03338,            0.040907,           0.0067603,            0.006436,            0.006436,            0.006436
                 110,            0.035561,            0.040099,           0.0070742,             0.43558,             0.60343,             0.58287,             0.34145,             0.03351,                0.04,            0.006722,            0.006403,            0.006403,            0.006403
                 111,            0.034784,            0.046667,           0.0090323,              0.5039,             0.63368,             0.68533,             0.41272,            0.031981,            0.044456,           0.0065148,             0.00637,             0.00637,             0.00637
                 112,            0.035493,             0.04421,           0.0075527,             0.52669,             0.62608,             0.65028,             0.39398,            0.031903,            0.039988,           0.0065308,            0.006337,            0.006337,            0.006337
                 113,            0.036334,            0.044195,           0.0085084,             0.64799,             0.62803,             0.73618,             0.43637,            0.031927,            0.040259,           0.0068308,            0.006304,            0.006304,            0.006304
                 114,            0.037911,            0.045126,           0.0076676,             0.57959,             0.61859,             0.68612,             0.42818,             0.03204,            0.039898,           0.0073829,            0.006271,            0.006271,            0.006271
                 115,            0.037103,            0.045486,           0.0087049,             0.52688,             0.63659,             0.71834,             0.45256,            0.030306,            0.039784,           0.0075774,            0.006238,            0.006238,            0.006238
                 116,            0.036481,            0.042503,           0.0082792,             0.77335,             0.63368,             0.72406,             0.44538,            0.032781,            0.038884,           0.0067501,            0.006205,            0.006205,            0.006205
                 117,            0.035636,            0.043095,           0.0079716,             0.53914,             0.62861,             0.67908,             0.41699,            0.032548,            0.041213,           0.0074668,            0.006172,            0.006172,            0.006172
                 118,            0.034581,            0.042141,           0.0080387,             0.63052,             0.64911,              0.7364,             0.44583,            0.032379,            0.038898,           0.0067659,            0.006139,            0.006139,            0.006139
                 119,            0.034691,            0.043204,           0.0078504,             0.60129,             0.62786,             0.68256,             0.42177,            0.029453,            0.037369,           0.0062181,            0.006106,            0.006106,            0.006106
                 120,            0.033979,            0.045639,           0.0077456,             0.66164,             0.67975,             0.73305,             0.46032,            0.031329,            0.040365,           0.0060131,            0.006073,            0.006073,            0.006073
                 121,            0.035219,            0.041029,           0.0073446,             0.68287,             0.69194,             0.79685,             0.50128,            0.029729,            0.038298,           0.0057469,             0.00604,             0.00604,             0.00604
                 122,            0.033058,            0.042903,            0.007722,              0.5292,             0.68889,             0.70468,              0.4441,            0.030285,            0.041591,            0.006211,            0.006007,            0.006007,            0.006007
                 123,            0.034415,             0.04297,            0.008045,             0.55994,             0.72026,             0.69088,             0.43742,            0.030691,            0.039621,           0.0069656,            0.005974,            0.005974,            0.005974
                 124,            0.036534,            0.043652,           0.0080238,             0.52728,             0.70651,             0.72471,             0.40853,            0.033452,            0.042366,           0.0065645,            0.005941,            0.005941,            0.005941
                 125,            0.034327,            0.043148,           0.0080706,             0.55765,             0.75667,             0.73532,             0.42716,            0.031932,            0.040432,           0.0061586,            0.005908,            0.005908,            0.005908
                 126,            0.037054,            0.043351,           0.0069658,              0.5082,             0.67026,             0.78851,             0.49659,            0.031145,            0.039675,           0.0063503,            0.005875,            0.005875,            0.005875
                 127,            0.032881,            0.041424,           0.0072283,             0.60299,             0.71193,             0.79271,              0.4913,            0.031609,            0.039539,            0.006258,            0.005842,            0.005842,            0.005842
